id,label,diel_tot,hse_gap
0657,Cd-based_polymer,6.87059,5.5798
0766,SnF2-based_polymer,9.89731,4.2168
0655,Cd-based_polymer,5.81611,5.5727
0030,poly_acrylonitrile,3.23406,7.5803
0282,NH-C6H4-NH-O,4.21051,3.6275
0352,polyesters_intra,4.33252,6.3497
0764,SnF2-based_polymer,9.63351,4.1823
0633,Cd-based_polymer,6.91911,5.4439
0596,Zr-based_polymer,9.10264,2.4399
0300,NH-CO-NH-CO,5.46735,3.9867
0893,COD-2215314,3.43332,6.183
0183,CH2-NH-C6H4-O,4.13734,3.7495
0117,CH2-CH2-C6H4-C6H4,3.57898,3.7492
0431,Ti-based_polymer,4.56647,3.6782
0590,Zr-based_polymer,10.1448,2.5571
0930,COD-4511020,3.43713,4.5477
0257,NH-C4H2S-CO-CS,7.93369,1.4251
0995,COD-7218172,3.56141,6.4499
0680,Cd-based_polymer,6.14015,5.852
0826,COD-2009665,2.89432,5.1107
0466,Al-based_polymer,3.167,6.0978
0384,aromatic_polyesters,5.49372,3.9152
0387,aromatic_polyesters,8.54206,3.7985
0317,NH-O-CO-O,4.25106,5.0089
0952,COD-2000286,3.79245,7.677
0189,CH2-NH-CH2-O,3.51541,6.9282
0850,COD-9013391,2.85376,6.7644
0398,polyesters_intra,3.91437,4.9682
0100,CH2-C6H4-CO-C6H4,3.95135,3.8451
0845,COD-4500036,3.5958,3.6758
0654,Cd-based_polymer,6.09818,5.8421
0419,Ti-based_polymer,4.85941,3.2014
0793,SnF2-based_polymer,4.5009,5.1686
0771,SnF2-based_polymer,11.5823,4.2053
0292,NH-CO-C6H4-CS,5.10234,2.4238
0909,COD-2236598,4.07612,3.5317
0922,COD-4030004,3.4782,4.5296
0053,C6H4-C6H4-C4H2S-O,5.02401,2.397
0415,Ti-based_polymer,6.71855,3.0286
0868,COD-2011630,4.24071,2.7879
0857,COD-1507617,3.24311,5.9183
0088,CH2-C6H4-C4H2S-C4H2S,4.01737,2.8214
0961,COD-2003673,3.96264,4.5736
0856,COD-1505220,3.84065,5.9785
0894,COD-2215601,4.30363,3.0874
0129,CH2-CH2-CO-CS,4.92641,1.8131
0756,SnCl2-based_polymer,7.39475,2.7798
0475,Zn-based_polymer,5.04503,6.3839
0386,aromatic_polyesters,6.08313,4.3328
1015,COD-2207725,4.20046,4.2749
0712,Cd-based_polymer,4.21643,5.3786
0048,C6H4-C4H2S-CS-C4H2S,9.27345,1.0659
0001,cellulose,3.7821,7.4757
0175,CH2-NH-C4H2S-C6H4,4.19004,3.3441
0243,CO-O-C4H2S-CS,5.54084,1.9856
0774,SnF2-based_polymer,11.2659,3.8267
0498,Zn-based_polymer,9.46337,5.8945
0714,Cd-based_polymer,4.40431,5.3489
1071,COD-2239799,5.49196,4.6797
0996,COD-8101848,3.05385,6.1506
0556,Zn-based_polymer,6.65925,6.0276
0422,Ti-based_polymer,4.99052,3.1624
0579,Mg-based_polymer,8.12211,4.2267
0181,CH2-NH-C6H4-CO,4.8742,3.1969
0678,Cd-based_polymer,5.04899,5.5643
0501,Zn-based_polymer,4.67387,6.3806
0234,CO-C6H4-CO-O,5.35413,3.1295
0082,CH2-C4H2S-CS-O,4.73077,2.676
0096,CH2-C6H4-CH2-C6H4,3.40864,4.2049
0906,COD-2232897,4.08935,4.0294
0052,C6H4-C6H4-C4H2S-CS,6.66677,1.7583
0686,Cd-based_polymer,6.06681,3.4874
0960,COD-2002929,4.54739,2.4604
0838,COD-2209023,2.78064,5.8128
0435,Ti-based_polymer,4.30259,3.1091
0526,Zn-based_polymer,9.28032,6.0604
1023,COD-4110682,4.25847,4.3808
0063,C6H4-CS-C6H4-O,4.99738,1.7412
0823,COD-1511801,2.43451,9.0227
0708,Cd-based_polymer,4.92023,5.2501
0061,C6H4-CS-C4H2S-O,4.55151,2.4038
0137,CH2-CO-C4H2S-C6H4,4.72019,2.5123
0986,COD-4116141,3.62415,6.979
0433,Ti-based_polymer,4.3148,3.1982
0755,SnCl2-based_polymer,10.1928,2.2079
0775,SnF2-based_polymer,15.101,3.9597
0428,Ti-based_polymer,5.47017,3.066
0139,CH2-CO-C4H2S-CS,4.81623,2.3542
0649,Cd-based_polymer,11.6723,5.1511
0477,Zn-based_polymer,7.50487,5.6738
0284,NH-C6H4-O-C6H4,4.36732,3.2074
0140,CH2-CO-C4H2S-O,4.4747,3.1722
0062,C6H4-CS-C6H4-CS,3.79753,1.8035
0632,Cd-based_polymer,6.90043,5.4483
0844,COD-4308011,3.07589,3.6657
0789,SnF2-based_polymer,5.47184,5.5879
0647,Cd-based_polymer,9.45422,5.2543
0322,NH-CS-NH-C6H4-NH-CS-NH-C6H4-O-C6H4,5.30871,3.1216
0074,CH2-C4H2S-C6H4-O,4.04804,2.9246
0220,CO-C4H2S-CS-O,5.61562,2.3663
